Year,GDP
1961,2.29999999999968
1962,6.10000000000012
1963,4.39999999999992
1964,5.800000000000299
1965,6.399999999999759
1966,6.50000000000028
1967,2.5000000000000298
1968,4.7999999999995895
1969,3.0999999999999903
1970,-0.32276083561664803
1971,3.2933623870393403
1972,5.25889534832913
1973,5.64571947321326
1974,-0.540546529606971
1975,-0.205464005057081
1976,5.38813922012807
1977,4.624159211772559
1978,5.53530269624309
1979,3.16615026772367
1980,-0.256751936461413
1981,2.53771870053738
1982,-1.8028744520173503
1983,4.58392730884007
1984,7.2366200040106206
1985,4.16965594529771
1986,3.4626517212670898
1987,3.45957255449522
1988,4.177046383082
1989,3.6726563283844103
1990,1.88596032430949
1991,-0.10825910470552498
1992,3.52244248662824
1993,2.75284432663625
1994,4.02883906807251
1995,2.6842871338757
1996,3.7725013199817004
1997,4.44721633956435
1998,4.48140755308913
1999,4.75323599078349
2000,4.1274840114197495
2001,0.998340800315447
2002,1.7416952430289399
2003,2.86121077200275
2004,3.7988911226479303
2005,3.51321379594287
2006,2.85497229827358
2007,1.87617145523009
2008,-0.136579804247219
